City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,turangi,-39.0,175.9333,8.51,93,80,0.69,NZ,1670261841
247,lichinga,-13.3128,35.2406,21.05,78,75,2.57,MZ,1670261842
248,lufilufi,-13.8745,-171.5986,23.88,74,82,3.26,WS,1670261842
249,marienburg,54.0359,19.0266,2.69,89,100,2.84,PL,1670261843
250,palana,59.1167,159.9667,-8.86,65,100,10.73,RU,1670261766
251,bathsheba,13.2167,-59.5167,29.34,65,75,2.06,BB,1670261844
252,beringovskiy,63.05,179.3167,-0.33,98,100,19.23,RU,1670261844
253,beloha,-25.1667,45.05,25.63,75,45,4.45,MG,1670261845
254,los llanos de aridane,28.6585,-17.9182,19.86,84,75,2.57,ES,1670261845
255,fenton,42.7978,-83.7049,3.89,57,0,4.12,US,1670261680
256,ambilobe,-13.2,49.05,25.13,81,16,0.73,MG,1670261846
257,kaputa,-8.4689,29.6619,21.04,81,100,2.8,ZM,1670261847
258,igarka,67.4667,86.5833,-2.92,89,100,7.73,RU,1670261847
259,manyana,-23.4,21.7167,27.64,16,24,4.73,BW,1670261848
260,rawson,-43.3002,-65.1023,32.16,14,0,7.2,AR,1670261848
261,severo-kurilsk,50.6789,156.125,-5.07,62,100,11.68,RU,1670261848
262,warmbad,-28.45,18.7333,22.79,13,92,4.04,NA,1670261849
263,nicoya,10.1483,-85.452,27.4,68,10,4.31,CR,1670261850
264,rio grande,-32.035,-52.0986,30.06,73,2,5.46,BR,1670261850
265,chokurdakh,70.6333,147.9167,-34.67,98,77,3.96,RU,1670261712
266,port-gentil,-0.7193,8.7815,27.98,83,20,5.14,GA,1670261750
267,bara,10.3744,10.7288,30.88,16,98,3.61,NG,1670261851
268,grindavik,63.8424,-22.4338,-1.74,100,5,2.06,IS,1670261852
269,bendigo,-36.7667,144.2833,10.48,48,7,2.7,AU,1670261852
270,lodja,-3.4833,23.4333,20.17,92,42,0.92,CD,1670261853
271,torbay,47.6666,-52.7314,5.22,96,100,6.69,CA,1670261853
272,lorengau,-2.0226,147.2712,26.04,79,100,2.53,PG,1670261854
273,bitung,1.4451,125.1824,25.47,85,100,1.79,ID,1670261854
274,mayya,61.7333,130.2811,-36.38,96,100,2.45,RU,1670261855
275,hilo,19.7297,-155.09,24.6,84,0,3.09,US,1670261775
276,talnakh,69.4865,88.3972,-3.77,96,100,5.34,RU,1670261680
277,mizan teferi,6.9833,35.5833,16.2,89,79,1.32,ET,1670261856
278,jadu,31.953,12.0261,15.76,31,1,0.35,LY,1670261856
279,zwedru,6.0667,-8.1281,25.27,86,100,1.13,LR,1670261857
280,havre-saint-pierre,50.2334,-63.5986,-2.0,68,100,4.12,CA,1670261857
281,aranos,-24.1333,19.1167,29.62,9,22,7.76,NA,1670261789
282,kavieng,-2.5744,150.7967,26.8,80,98,2.32,PG,1670261687
283,kutulik,53.3508,102.7839,-12.48,72,99,5.46,RU,1670261858
284,carmo do rio claro,-20.9719,-46.1189,22.03,85,100,0.93,BR,1670261858
285,haapiti,-17.5667,-149.8667,26.85,77,22,7.3,PF,1670261859
286,vila franca do campo,37.7167,-25.4333,17.89,75,58,4.27,PT,1670261859
287,kisanga,-7.4362,37.7034,27.07,55,93,4.19,TZ,1670261860
288,mar del plata,-38.0023,-57.5575,33.79,75,0,5.36,AR,1670261598
289,karratha,-20.7377,116.8463,28.08,44,0,7.01,AU,1670261860
290,cabedelo,-6.9811,-34.8339,28.37,66,20,6.21,BR,1670261861
291,hambantota,6.1241,81.1185,24.98,83,98,1.56,LK,1670261861
292,solntsevo,51.4185,36.7499,-9.81,61,48,3.48,RU,1670261861
293,komsomolets,53.7453,62.0708,-20.19,100,91,1.67,KZ,1670261862
294,pachino,36.7186,15.0907,15.71,64,32,1.19,IT,1670261862
295,saint anthony,45.0205,-93.218,-0.84,69,100,5.14,US,1670261857
296,dongying,37.4564,118.4856,-1.11,33,0,1.12,CN,1670261863
297,arya,33.6,73.0667,12.91,73,19,1.64,PK,1670261863
298,nogliki,51.8333,143.1667,-18.4,91,22,4.4,RU,1670261864
299,acoyapa,11.9703,-85.1711,30.05,71,10,8.24,NI,1670261864
300,garowe,8.4054,48.4845,24.48,59,94,7.62,SO,1670261865
301,acapulco,16.8634,-99.8901,29.9,62,0,1.54,MX,1670261715
302,sabinas,27.85,-101.1167,21.81,67,75,1.3,MX,1670261865
303,ibra,22.6906,58.5334,20.1,58,2,1.14,OM,1670261866
304,taunggyi,20.7833,97.0333,13.62,87,18,0.89,MM,1670261866
